"INSTITUTION_ID","ENTITY_CD","ENTITY_NAME","WEIGHTED_INDEX","ENROLLMENT","ABSENT_COUNT","GRAD_COUNT","COHORT_COUNT","ELA_P_RATE","MATH_P_RATE","PUPIL_COUNT_TOT","FED_STATE_LOCAL_EXP","NUM_TEACH","NUM_TEACH_INEXP","NUM_TEACH_OC","NUM_OUT_CERT","OVERALL_STATUS"
"800000053051","140203060004","WILLIAMSVILLE SOUTH HIGH SCHOOL","172.7","834","175","241","257","100","88","823","18196016",78,12,"78","0","Local Support and Improvement"
"800000053056","140203060010","WILLIAMSVILLE NORTH HIGH SCHOOL","183","1317","271","325","338","100","89.3","1306","28051239",119,12,"116","0","Local Support and Improvement"
"800000053040","140203060013","WILLIAMSVILLE EAST HIGH SCHOOL","200.3","983","169","246","256","100","90.8","973","20107211",84,11,"79","0","Local Support and Improvement"
"800000052982","140207060006","SWEET HOME SENIOR HIGH SCHOOL","130.6","1126","412","250","264","99.7","88.6","1090","30133482",93,15,"93","8","Local Support and Improvement"
"800000052992","140301030005","EAST AURORA HIGH SCHOOL","195.5","538","75","141","147","100","94.3","529","13034689",58,12,"57","2","Local Support and Improvement"
"800000052936","140600010056","FREDERICK OLMSTED #156","126.4","483","204","93","97","99.1","96.4","922","24744651",92,5,"85","4","Local Support and Improvement"
"800000052923","140600010097","BUFFALO ACADEMY-VIS & PERF ARTS","123.4","380","211","96","100","97.9","88.5","574","18732841",79,4,"75","10","Local Support and Improvement"
"800000052924","140600010098","MCKINLEY VOC HIGH SCHOOL","32.3","957","823","158","224","100","26.1","938","26189683",107,9,"101","5","Local Support and Improvement"
"800000052907","140600010101","BURGARD HIGH SCHOOL","70.5","515","418","75","112","96.4","91.9","460","15017151",57,3,"53","3","Local Support and Improvement"
"800000052908","140600010102","CITY HONORS SCHOOL","199.2","592","130","139","145","100","100","1056","28203467",82,2,"81","4","Local Support and Improvement"
"800000052910","140600010104","EMERSON SCHOOL OF HOSPITALITY","56.1","390","325","65","85","100","93","371","12459549",52,3,"45","1","Local Support and Improvement"
"800000052911","140600010105","HUTCHINSON CENTRAL TECH HIGH SCHOOL","124","1164","689","249","274","100","97.5","1162","31414797",103,5,"98","3","Local Support and Improvement"
"800000052900","140600010110","SOUTH PARK HIGH SCHOOL","50.5","814","661","188","216","100","87.7","726","22027231",86,3,"81","6","Local Support and Improvement"
"800000052894","140600010128","LEONARDO DA VINCI HIGH SCHOOL","96.1","369","215","95","96","100","98.8","361","11853932",40,3,"37","3","Local Support and Improvement"
"800000059688","140600010132","MATH SCIENCE TECH PREP SCHOOL-197","51","455","383","95","115","98.3","84.4","389","13216381",52,4,"48","7","Local Support and Improvement"
"800000074796","140600010135","MIDDLE EARLY COLLEGE HIGH SCHOOL","88.2","320","171","66","71","100","97.3","312","10113192",37,2,"32","1","Local Support and Improvement"
"800000088053","140600010140","EAST COMMUNITY SCHOOL","39.7","385","381","47","65","100","56.1","341","11914329",47,5,"41","9","Local Support and Improvement"
"800000088054","140600010141","LAFAYETTE INTERNATIONAL SCHOOL","69","494","385","98","125","96.6","93.1","440","15839210",66,4,"55","8","Local Support and Improvement"
"800000060406","140600010308","INTER PREP SCHOOL (THE)","64.6","666","546","134","158","99.2","82","614","19770634",73,4,"68","7","Local Support and Improvement"
"800000089607","140600010310","RIVERSIDE ACADEMY HIGH SCHOOL","45.5","378","323","42","67","98.4","75.4","333","11093481",46,4,"43","11","Local Support and Improvement"
"800000089608","140600010311","LEWIS J BENNETT HS OF INNOVATIVE TEC","111.4","495","388","84","95","100","93.4","435","13082665",50,4,"46","3","Local Support and Improvement"
"800000090408","140600010313","BUFFALO - CULINARY ART, HOSPITAL","56.9","446","345","72","90","98.9","89","434","13298915",48,0,"46","2","Local Support and Improvement"
"800000090367","140600010316","PATHWAYS ACADEMY","45.7","164","163","31","109","88.2","67.2","109","2250587",31,1,"29","0","Comprehensive Support and Improvement"
"800000052433","140600860838","TAPESTRY CHARTER SCHOOL","65.8","355","120","70","75","100","95.1","1126","17055475",95,31,"91","31","Local Support and Improvement"
"800000057454","140600860861","BUFFALO ACADEMY OF SCIENCE CS","122.4","269","126","63","68","100","79.2","903","13109406",68,34,"77","23","Local Support and Improvement"
"800000057456","140600860863","WESTERN NY MARITIME CHARTER SCHOOL","82.3","287","186","61","75","100","94.7","397","7644032",50,21,"51","25","Local Support and Improvement"
"800000065871","140600860961","HEALTH SCIENCES CHARTER SCHOOL","39.7","451","329","84","91","100","66.7","429","5396989",36,16,"31","19","Local Support and Improvement"
"800000052345","140701060006","CHEEKTOWAGA HIGH SCHOOL","107.7","728","304","158","185","99.4","77.4","683","19246895",68,19,"68","2","Local Support and Improvement"
"800000052332","140702030006","MARYVALE HIGH SCHOOL","132.7","672","218","150","170","99.3","90.9","648","15762118",59,10,"59","0","Local Support and Improvement"
"800000052314","140703020003","CLEVELAND HILL HIGH SCHOOL","129.6","390","98","105","113","98.8","91.5","368","10507943",46,6,"44","0","Local Support and Improvement"
"800000052302","140707030003","DEPEW HIGH SCHOOL","138.9","569","189","129","138","99.2","91.3","558","21252563",52,0,"52","0","Local Support and Improvement"
"800000052301","140709030004","JOHN F KENNEDY SENIOR HS","118.3","374","168","91","100","100","97.2","366","9757370",38,5,"37","0","Local Support and Improvement"
"800000052280","140801060006","CLARENCE SENIOR HIGH SCHOOL","191.2","1266","191","328","338","97.8","89.3","1255","27355129",127,26,"120","2","Local Support and Improvement"
"800000052288","141101060001","GRIFFITH INST HIGH SCHOOL","157.8","504","138","109","116","100","97.5","503","13506493",45,2,"44","3","Local Support and Improvement"
"800000052271","141201060001","EDEN MIDDLE & HIGH SCHOOL","148.6","379","77","91","93","100","72.2","675","16764483",67,4,"62","2","Local Support and Improvement"
"800000052245","141301060006","IROQUOIS SENIOR HIGH SCHOOL","173.1","629","137","174","185","100","98","625","17702907",61,6,"61","0","Local Support and Improvement"
"800000052236","141401060003","LAKE SHORE SENIOR HIGH SCHOOL","143.6","691","242","148","160","100","90.1","680","19319581",64,8,"64","1","Local Support and Improvement"
"800000052209","141501060004","GRAND ISLAND SENIOR HIGH SCHOOL","181.8","893","142","213","225","99.5","97.2","883","21107083",85,6,"77","4","Local Support and Improvement"
"800000052201","141601060007","HAMBURG HIGH SCHOOL","174.1","1004","214","223","233","99.6","86","996","24878537",85,4,"82","4","Local Support and Improvement"
"800000052186","141604060008","FRONTIER SENIOR HIGH SCHOOL","165.7","1334","401","295","324","99.7","96.4","1308","30055029",120,22,"120","2","Local Support and Improvement"
"800000052164","141701040001","HOLLAND HIGH SCHOOL","176","228","41","65","67","100","90","225","5882554",32,13,"32","4","Local Support and Improvement"
"800000052141","141800010008","LACKAWANNA HIGH SCHOOL","93.7","693","382","96","125","100","80.9","645","17478158",63,19,"63","10","Local Support and Improvement"
"800000052086","141800860044","GLOBAL CONCEPTS CHARTER SCHOOL","106.6","255","169","65","65","100","98","858","15150871",82,22,"77","29","Local Support and Improvement"
"800000052081","141901060008","LANCASTER HIGH SCHOOL","178.1","1672","239","427","438","100","98.8","1645","37524480",138,7,"137","16","Local Support and Improvement"
"800000052047","142101040002","AKRON HIGH SCHOOL","170.7","391","95","112","116","100","100","383","7753158",44,4,"44","0","Local Support and Improvement"
"800000052034","142301060006","ORCHARD PARK HIGH SCHOOL","193.6","1394","244","314","319","99.7","98.2","1389","35955466",122,14,"119","0","Local Support and Improvement"
"800000052015","142500010009","TONAWANDA MIDDLE/HIGH SCHOOL","135.9","536","201","105","116","97.8","92.8","889","19982596",80,18,"79","2","Local Support and Improvement"
"800000051987","142601030025","KENMORE EAST SENIOR HIGH SCHOOL","142.4","875","209","221","242","98.5","86.3","1050","29676276",112,9,"110","1","Targeted Support and Improvement"
"800000051988","142601030026","KENMORE WEST SENIOR HIGH SCHOOL","129.1","1089","342","229","249","98.9","87.8","1269","33657023",134,17,"130","1","Targeted Support and Improvement"
"800000051942","142601860031","CHARTER SCHOOL-APPLIED TECHNOLOGIES","78","730","336","148","160","100","67.1","2312","37799280",209,66,"183","50","Local Support and Improvement"
"800000051950","142801060010","WEST SENECA WEST SENIOR HS","145.5","1127","345","251","284","99.6","90.9","1115","26090138",104,14,"101","0","Local Support and Improvement"
"800000051933","142801060016","WEST SENECA EAST SENIOR HS","146.9","792","247","187","212","99.4","90.9","775","19627039",82,7,"81","2","Local Support and Improvement"
"800000051872","150901040004","MORIAH JUNIOR-SENIOR HS","130.3","224","67","47","52","100","86.4","310","9681281",37,4,"37","3","Local Support and Improvement"
"800000051824","151501060001","TICONDEROGA JUNIOR-SENIOR HS","132.1","251","18","58","63","100","92.9","358","9875561",32,2,"30","10","Local Support and Improvement"
"800000051792","161201040002","SALMON RIVER HIGH SCHOOL","99.7","411","186","90","98","98.9","94.6","398","15700712",48,10,"49","2","Local Support and Improvement"
"800000051781","161401060002","SARANAC LAKE SENIOR HIGH SCHOOL","164.2","380","62","88","92","100","95.4","374","13176528",35,4,"36","6","Local Support and Improvement"
"800000051734","161501060014","FRANKLIN ACADEMY HIGH SCHOOL","109.7","708","195","146","166","98.8","70.9","683","18313882",71,22,"70","3","Local Support and Improvement"
"800000051683","170500010009","GLOVERSVILLE HIGH SCHOOL","93.6","707","338","122","167","100","86.2","683","21690315",66,12,"80","2","Local Support and Improvement"
"800000051655","170600010006","JOHNSTOWN HS","110.9","466","143","94","100","100","90.9","557","14930113",47,4,"50","5","Local Support and Improvement"
"800000051632","170801040002","MAYFIELD JR/SR HIGH SCHOOL","138.6","262","80","68","80","100","92.9","392","9296024",33,3,"34","5","Local Support and Improvement"
"800000051602","171102040004","BROADALBIN-PERTH JUNIOR-SENIOR HS","125.7","527","149","114","121","99.2","91.7","791","18444496",74,7,"86","2","Local Support and Improvement"
"800000034033","180202040003","ALEXANDER MIDDLE SCHOOL-HIGH SCHOOL","148.7","255","51","58","64","100","93.3","408","11659958",47,16,"43","7","Local Support and Improvement"
"800000034006","180300010006","BATAVIA HIGH SCHOOL","114.4","703","302","143","159","97.7","86.5","670","20074612",62,11,"59","2","Local Support and Improvement"
"800000033996","181001060002","LE ROY JUNIOR-SENIOR HIGH SCHOOL","162.4","367","89","83","87","100","97.9","547","12672776",54,8,"52","2","Local Support and Improvement"
"800000033995","181101040001","OAKFIELD-ALABAMA MIDDLE/HIGH SCHOOL","128.7","214","53","60","61","100","76.4","372","11723500",48,12,"45","1","Local Support and Improvement"
"800000033976","181302040002","PEMBROKE JUNIOR-SENIOR HS","139.8","282","72","59","62","100","85.3","431","11104670",50,4,"47","2","Local Support and Improvement"
